Peer Review,Value,Lower Bound,Upper Bound,Country,Location,Start date,End date,Published date,Source
Yes,2.68,2.47,2.86,NA,Global,12/31/2019,1/28/2020,1/31/2020,University of Hong Kong
Yes,2.24,1.96,2.55,China,Wuhan City,1/10/2020,1/24/2020,1/27/2020,Multiple Institutions
Yes,0.3,0.17,0.44,China,Wuhan City,1/9/2020,1/11/2020,1/22/2020,University of Hong Kong
No,1.44,1.4,1.47,China,Wuhan,1/22/2020,2/12/2020,2/18/2020,"Wuhan Ammunition Life-Tech Co., Ltd."
No,2.1,2,2.2,China,NA,12/8/2019,1/24/2020,2/17/2020,Hokkaido University
No,3.2,2.7,3.7,China,NA,12/8/2019,1/24/2020,2/17/2020,Hokkaido University
No,7.05,6.11,8.18,China,Wuhan,12/31/2019,1/23/2020,2/13/2020,Multiple Institutions
No,2.4,2.2,2.6,China,China,12/1/2019,1/23/2020,2/11/2020,Mobs-lab
No,2.4,2.2,2.6,NA,Global,12/1/2019,2/7/2020,2/11/2020,Mobs-lab
No,4.7,2.8,11.3,NA,Global,12/31/2019,1/30/2020,2/11/2020,Los Alamos National Laboratory
,6.6,,,,,,,,
No,3.24,NA,NA,NA,Global,1/1/2020,1/22/2020,2/9/2020,University of Chinese Academy of Sciences
No,2.45,NA,NA,China,Mainland China,12/17/2019,2/6/2020,2/8/2020,Tsinghua-Berkeley Shenzhen Institute
No,1.48,NA,NA,China,Mainland China,12/17/2019,2/6/2020,2/8/2020,Tsinghua-Berkeley Shenzhen Institute
No,3.1,NA,NA,NA,Global,12/31/2019,1/23/2020,2/7/2020,CMMID
,1.6,,,,,,,,
No,3.11,2.39,4.13,NA,Global,1/1/2020,1/22/2020,1/28/2020,Lancaster University
No,2.5,2,3.1,China,Wuhan City,12/8/2019,1/26/2020,1/27/2020,Harvard University
No,2.6,1.5,3.5,China,Wuhan City,12/31/2019,1/18/2020,1/24/2020,Imperial College London
No,2.2,1.4,3.8,China,Wuhan City,11/27/2019,1/18/2020,1/23/2020,University of Bern
