scenario,day,cum_inf,cum_hosp,cum_icu,cum_vent,cum_death
Low Transmission,30,120 (101-152),2 (0-4),0 (0-0),0 (0-0),0 (0-1)
Moderate Transmission,30,166 (103-351),3 (0-7),0 (0-1),0 (0-0),0 (0-1)
High Transmission,30,588 (112-2326),6 (0-25),0 (0-1),0 (0-0),0 (0-1)
Low Transmission,91,2305 (133-10622),52 (2-242),4 (0-17),0 (0-2),2 (0-11)
Moderate Transmission,91,56783 (845-158025),1355 (15-4638),70 (0-366),2 (0-11),52 (0-251)
High Transmission,91,190164 (145775-198383),6037 (3317-7810),1143 (72-1892),70 (0-209),519 (82-757)
Low Transmission,182,104029 (8049-158158),3206 (197-5524),636 (19-1366),68 (1-187),271 (10-536)
Moderate Transmission,182,178486 (161867-187608),5840 (4741-7083),1519 (1115-1877),221 (116-288),579 (448-716)
High Transmission,182,195483 (193875-198255),6323 (4968-7795),1667 (1282-2081),248 (186-320),633 (481-792)
Low Transmission,365,134510 (122027-153325),4402 (3731-5245),1161 (979-1383),174 (139-218),441 (366-534)
Moderate Transmission,365,166462 (166462-166462),5924 (5924-5924),1589 (1589-1589),269 (269-269),592 (592-592)
Moderate Transmission,365,179615 (165006-187625),5888 (4864-7103),1554 (1275-1882),233 (184-290),589 (478-717)
High Transmission,365,196977 (194008-198610),6430 (5128-7983),1697 (1349-2110),255 (195-325),643 (504-803)
